value,canonical_type,confidence,types_found,count_per_type,entities_to_reclassify,edges_affected
HRM,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
HPU1,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
HPA,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
GOM,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
JFL,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Jacket walkway,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
Jurong Port,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Fitter,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
MTR1,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
MTP,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Fenja,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Feres Medical Facility,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
MIL205,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
Loyal Drill Centre,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
LTPC,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
LST,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
LS,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
LQ,BODY_PART,ambiguous,BODY_PART; ORGANIZATION,BODY_PART=1; ORGANIZATION=1,1,1
LB,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Komotini Project Clinic,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Fishing Tool,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
Kavala Hospital,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Kastoria General Hospital,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Karratha Health Campus,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
KSU B17,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Deepsea Yantai,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Receiving A,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Red Deer facility,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
CDW-B,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
Transocean Spitsbergen,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Tower Crane #2,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
Thermoplastic Umbilicals Factory,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Tether Management System,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
Tens?o Constante,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
Template N,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
Tehcnip,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
TWC,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
TRAIN1,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
Red Zed 1,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
TR,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
TMP005,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
TLS tower,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
CMT,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
COXON TIDE,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
TFM,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
TCN 26,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
CR,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
UOT,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
UTAJ,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
UTF,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
C-spine,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
Zipper,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
GTG,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
XLS24,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
X-Tree,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Winch 19,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
WSP18,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Bourbon Evolution 803,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
Buzios,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
C,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
W7,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
Vinland,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Viking Neptun,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
Van Oord,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
VLS gutter,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
Ustay sewage water truck,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
Unit 14,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
UTH frames,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
TBT & JRA,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
TATRA,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
Surfer 2000,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
STA,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
SRT,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
D&A,INJURY_TYPE,ambiguous,INJURY_TYPE; ORGANIZATION,INJURY_TYPE=1; ORGANIZATION=1,1,1
SRL,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
SPFM,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
SPA,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
DPG,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
SP7,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
SP-21,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
SEM,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
DPO’s,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
S13 Buck Up,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Rowan Norway,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Rov,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
Deema,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Romashka camp clinic,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Deep Blue clinic,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Reeves County Hospital,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Compressor “A”,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
STEPS,BODY_PART,ambiguous,BODY_PART; ORGANIZATION,BODY_PART=1; ORGANIZATION=1,1,1
Surf Allamanda,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
STF,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Stanley,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
CRU,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
2nd end,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
Skandi Niterói,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Callanish Project,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Siem Barracuda,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
Shell Tellus 22,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
Serres General Hospital,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Sapura Esmeralda,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
Carousel B,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
ChagTerms,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
SWC,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
SVP,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
Christmas Tree,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
STR,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
STM,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
STL office,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
114-PAU-012 Compressor A,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
