value,canonical_type,confidence,types_found,count_per_type,entities_to_reclassify,edges_affected
carter,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=4; BODY_PART=2,1,2
NM,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=2,1,2
Skandi Vinland,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
Yokohama,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=3; LOCATION=2,1,2
truck bed,LOCATION,moderate,BODY_PART; EQUIPMENT; LOCATION,LOCATION=4; BODY_PART=1; EQUIPMENT=1,2,2
PC37,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
tubing head,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=22; BODY_PART=2,1,2
hood,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=6; EQUIPMENT=2,1,2
SPHL,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=2,1,2
weld shop,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=5; ORGANIZATION=2,1,2
RLST,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
guard rail,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=4; EQUIPMENT=2,1,2
ROV,EQUIPMENT,high,EQUIPMENT; ORGANIZATION,EQUIPMENT=279; ORGANIZATION=2,1,2
ROVCON,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
SP8,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=2,1,2
RWC,ORGANIZATION,ambiguous,INJURY_TYPE; LOCATION; ORGANIZATION,ORGANIZATION=2; INJURY_TYPE=1; LOCATION=1,2,2
A9,LOCATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=7; EQUIPMENT=1; ORGANIZATION=1,2,2
hotel,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=17; ORGANIZATION=2,1,2
SP24,EQUIPMENT,moderate,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=5; LOCATION=1; ORGANIZATION=1,2,2
bay door,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=6; EQUIPMENT=2,1,2
Rigger,EQUIPMENT,ambiguous,BODY_PART; EQUIPMENT; ORGANIZATION,EQUIPMENT=2; BODY_PART=1; ORGANIZATION=1,2,2
RDT,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=2,1,2
RoW,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=30; ORGANIZATION=2,1,2
bench,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=3; EQUIPMENT=2,1,2
SP10,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=5; LOCATION=2,1,2
head area,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=2; LOCATION=2,1,2
hatch,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=2; EQUIPMENT=2,1,2
S07,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=20; ORGANIZATION=2,1,2
work,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=27; ORGANIZATION=2,1,2
SA,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=2,1,2
SDC,ORGANIZATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=4; EQUIPMENT=1; LOCATION=1,2,2
hard hat,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=35; BODY_PART=2,1,2
handle,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=9; BODY_PART=2,1,2
SJA,ORGANIZATION,moderate,EQUIPMENT; INJURY_TYPE; ORGANIZATION,ORGANIZATION=4; EQUIPMENT=1; INJURY_TYPE=1,2,2
ANM,ORGANIZATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=6; EQUIPMENT=1; LOCATION=1,2,2
infirmary,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=39; ORGANIZATION=2,1,2
cab,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=2; EQUIPMENT=1; LOCATION=1,2,2
PLS,ORGANIZATION,high,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=23; EQUIPMENT=1; LOCATION=1,2,2
gaine,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=4; EQUIPMENT=2,1,2
BAVIT,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=5; LOCATION=2,1,2
PAU 003,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=3; LOCATION=2,1,2
local A&E,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
garf,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=2; EQUIPMENT=1; LOCATION=1,2,2
MCR,ORGANIZATION,high,LOCATION; ORGANIZATION,ORGANIZATION=14; LOCATION=2,1,2
line,EQUIPMENT,high,BODY_PART; EQUIPMENT; LOCATION,EQUIPMENT=9; BODY_PART=1; LOCATION=1,2,2
B7,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=3; LOCATION=2,1,2
PFM,EQUIPMENT,moderate,EQUIPMENT; ORGANIZATION,EQUIPMENT=5; ORGANIZATION=2,1,2
unit,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
PLEM,ORGANIZATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=3; EQUIPMENT=1; LOCATION=1,2,2
back,BODY_PART,high,BODY_PART; INJURY_TYPE; LOCATION,BODY_PART=199; INJURY_TYPE=1; LOCATION=1,2,2
POLE,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=3; LOCATION=2,1,2
base,LOCATION,high,BODY_PART; LOCATION,LOCATION=43; BODY_PART=2,1,2
STR 160,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=2,1,2
PPS,ORGANIZATION,high,LOCATION; ORGANIZATION,ORGANIZATION=9; LOCATION=2,1,2
STL,ORGANIZATION,high,LOCATION; ORGANIZATION,ORGANIZATION=32; LOCATION=2,1,2
All Stop,ORGANIZATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=2; EQUIPMENT=1; LOCATION=1,2,2
vice,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=10; LOCATION=2,1,2
