is_match,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,num_mismatch,risk_score
0,LOCATION,floor,floors,0.9091,,,1,FALSE,6.489
1,LOCATION,floor,Flor,0.8889,,,1,FALSE,6.469
1,INJURY_TYPE,injuries,injures,0.9231,,,1,FALSE,6.459
1,EQUIPMENT,crane,cranes,1,,,1,FALSE,6.436
1,BODY_PART,left hand,hand,1,,,1,FALSE,6.407
1,ORGANIZATION,TFMC,Technip PMC,0.8571,,,1,FALSE,6.394
1,ORGANIZATION,Client,Cliente,0.9231,,,1,FALSE,6.393
1,LOCATION,main deck,maindeck,0.9412,,,1,FALSE,6.369
0,INJURY_TYPE,injuries,injuried,0.9333,,,1,FALSE,6.357
0,LOCATION,ground,grounds,0.9231,,,1,FALSE,6.356
1,ORGANIZATION,Client,Clients,0.9231,,,1,FALSE,6.352
1,ORGANIZATION,TFMC,TechnpFMC,0.9474,,,1,FALSE,6.349
1,ORGANIZATION,TECHNIPFMC UMBILICALS LTD,"TechnipFMC Umbilicals, Inc.",0.9767,,,1,FALSE,6.294
1,BODY_PART,right hand,hand,1,,,1,FALSE,6.293
0,INJURY_TYPE,injuries,injured,0.8571,,,1,FALSE,6.281
1,EQUIPMENT,ROV,ROV’s,0.8571,,,1,FALSE,6.216
1,EQUIPMENT,ROV,ROV's,0.8571,,,1,FALSE,6.209
0,LOCATION,ground,ground 0,0.8571,,0,0,FALSE,6.158
0,BODY_PART,left hand,hands,1,,,1,FALSE,6.12
1,EQUIPMENT,palet,pallet,0.9091,,,1,FALSE,6.062
1,BODY_PART,left hand,left  hand,1,,,1,FALSE,6.052
1,BODY_PART,finger,fingeren,0.8571,,,1,FALSE,5.992
1,ORGANIZATION,TECHNIP FMC,TechnpFMC,0.9,,,1,FALSE,5.99
0,EQUIPMENT,train 2,Train 1,0.8571,2,1,0,TRUE,5.972
0,BODY_PART,right hand,hands,1,,,1,FALSE,5.966
1,BODY_PART,Knee,kneet,0.8889,,,1,FALSE,5.945
0,LOCATION,Building 3,Building 6,0.9,3,6,0,TRUE,5.944
0,LOCATION,station 1,station 4,0.8889,1,4,0,TRUE,5.934
1,ORGANIZATION,TECHNIP FMC,Technip PMC,0.9091,,,1,FALSE,5.899
1,EQUIPMENT,equipamento,equipment,0.9,,,1,FALSE,5.89
1,BODY_PART,right hand,right  hand,1,,,1,FALSE,5.889
1,ORGANIZATION,VELESSTROY,Velesstroi,0.9,,,1,FALSE,5.883
1,BODY_PART,middle finger,finger,1,,,1,FALSE,5.883
1,ORGANIZATION,WOODSIDE ENERGY LTD.,"WOODSIDE ENERGY, LTD.",0.9677,,,1,FALSE,5.88
1,ORGANIZATION,EXXON MOBILE,EXXONMOBIL,0.9091,,,1,FALSE,5.879
1,ORGANIZATION,VELESSTROY,Velestsroy,0.9,,,1,FALSE,5.86
0,LOCATION,station 1,station 0,0.8889,1,0,0,TRUE,5.833
0,LOCATION,station 1,Station 3,0.8889,1,3,0,TRUE,5.833
0,LOCATION,station 1,station 6,0.8889,1,6,0,TRUE,5.833
1,ORGANIZATION,EXXON MOBIL,EXXONMOBIL,0.9524,,,1,FALSE,5.823
1,BODY_PART,finger,index finger,1,,,1,FALSE,5.805
0,LOCATION,level 1,Level 2,0.8571,1,2,0,TRUE,5.79
0,LOCATION,station 1,Station 9,0.8889,1,9,0,TRUE,5.779
0,LOCATION,station 1,Station 2,0.8889,1,2,0,TRUE,5.779
1,ORGANIZATION,PETRONAS,Petrogas,0.875,,,1,FALSE,5.774
0,ORGANIZATION,PETRONAS,Petrobas,0.875,,,1,FALSE,5.774
0,LOCATION,Building 3,Building 1,0.9,3,1,0,TRUE,5.773
0,LOCATION,Area 1,Area 51,0.9231,1,51,0,TRUE,5.765
1,ORGANIZATION,"TechnipFMC Umbilicals, Inc.",TechnipFMC Umbilicals (TU) Ltd,0.875,,,1,FALSE,5.754
1,ORGANIZATION,"TECHNIPFMC USA, INC.","TECHNIP USA, INC.",0.8889,,,1,FALSE,5.749
0,LOCATION,building 14,Building 15,0.9091,14,15,0,TRUE,5.742
0,INJURY_TYPE,injuries,minor injuries,1,,,1,FALSE,5.727
1,ORGANIZATION,"TechnipFMC Umbilicals, Inc.",Technip Umbilical,0.8718,,,1,FALSE,5.722
0,LOCATION,station 1,station 5,0.8889,1,5,0,TRUE,5.722
1,BODY_PART,left foot,foot,1,,,1,FALSE,5.714
1,LOCATION,zObsolete - Greece,Greece,1,,,1,FALSE,5.714
0,LOCATION,Area 81,Area 1,0.9231,81,1,0,TRUE,5.713
0,LOCATION,workshop,Workshop 1,0.8889,,1,0,FALSE,5.709
0,LOCATION,station 1,stations 10,0.9,1,10,0,TRUE,5.708
0,LOCATION,station 1,station #16,0.9,1,16,0,TRUE,5.708
0,LOCATION,Building 3,Building 7,0.9,3,7,0,TRUE,5.708
0,LOCATION,level 3,level 1,0.8571,3,1,0,TRUE,5.706
0,INJURY_TYPE,injuries,superficial injuries,1,,,1,FALSE,5.697
0,LOCATION,workshop,Workshop-3,0.8889,,3,0,FALSE,5.693
0,LOCATION,workshop,Workshop B,0.8889,,,1,FALSE,5.693
0,LOCATION,workshop,workshop A,0.8889,,,1,FALSE,5.693
0,LOCATION,workshop,Workshop 2,0.8889,,2,0,FALSE,5.693
0,INJURY_TYPE,injuries,slight injuries,1,,,1,FALSE,5.69
0,LOCATION,workshop,workshop F,0.8889,,,1,FALSE,5.685
0,LOCATION,workshop,workshop 6,0.8889,,6,0,FALSE,5.685
0,LOCATION,workshop,workshop H,0.8889,,,1,FALSE,5.685
0,LOCATION,Building 71,Building 15,0.9091,71,15,0,TRUE,5.682
0,LOCATION,Building 15,Building 16,0.9091,15,16,0,TRUE,5.682
1,BODY_PART,eye,right eye,1,,,1,FALSE,5.68
1,EQUIPMENT,ROV,ROVs,1,,,1,FALSE,5.677
1,BODY_PART,right foot,foot,1,,,1,FALSE,5.663
0,LOCATION,level 5,level 1,0.8571,5,1,0,TRUE,5.662
0,LOCATION,station 1,station 8,0.8889,1,8,0,TRUE,5.662
0,LOCATION,Building 3,Building 15,0.8571,3,15,0,TRUE,5.662
0,EQUIPMENT,Train 1,Train 3,0.8571,1,3,0,TRUE,5.662
0,LOCATION,Area 1,Area 19,0.9231,1,19,0,TRUE,5.659
0,INJURY_TYPE,laceration,lacerating,0.9,,,1,FALSE,5.644
1,BODY_PART,eye,left eye,1,,,1,FALSE,5.642
1,LOCATION,quayside,quaysite,0.875,,,1,FALSE,5.64
0,LOCATION,Building 3,Building 2,0.9,3,2,0,TRUE,5.639
0,EQUIPMENT,ROV XLX 94,ROV XLX 93,0.9,94,93,0,TRUE,5.639
1,BODY_PART,ring finger,finger,1,,,1,FALSE,5.617
1,ORGANIZATION,"TECHNIPFMC USA, INC.",TechnipFMC Subsea,0.875,,,1,FALSE,5.61
1,BODY_PART,finger,Right Index Finger,1,,,1,FALSE,5.609
0,LOCATION,Area 1,Area 13,0.9231,1,13,0,TRUE,5.602
0,LOCATION,Area 1,Area 31,0.9231,1,31,0,TRUE,5.602
0,LOCATION,Area 1,Area 14,0.9231,1,14,0,TRUE,5.602
1,BODY_PART,lower back,low back,0.8889,,,1,FALSE,5.599
0,LOCATION,station 1,Station 7,0.8889,1,7,0,TRUE,5.597
0,EQUIPMENT,ROV XLX94,ROV XLX74,0.8889,94,74,0,TRUE,5.597
1,BODY_PART,finger,left index finger,1,,,1,FALSE,5.595
1,ORGANIZATION,MIDDLE EAST OIL REFINERY - MIDOR,MIDDLE EAST OIL REFINERY (MIDOR),0.9375,,,1,FALSE,5.595
0,BODY_PART,fingers,finger,1,,,1,FALSE,5.583
0,LOCATION,level 4,level 1,0.8571,4,1,0,TRUE,5.567
1,LOCATION,quayside,quay side,0.9412,,,1,FALSE,5.551
1,ORGANIZATION,ASIAFLEX PRODUCTS SDN. BHD.,ASIAFLEX PRODUCTS SDN BHD,0.9615,,,1,FALSE,5.55
0,LOCATION,area 2,area 72,0.9231,2,72,0,TRUE,5.542
0,LOCATION,area 2,Area 20,0.9231,2,20,0,TRUE,5.542
0,LOCATION,area 2,Area 23,0.9231,2,23,0,TRUE,5.542
0,EQUIPMENT,ROV XLX94,ROV xlx93,0.8889,94,93,0,TRUE,5.528
1,ORGANIZATION,"TECHNIPFMC USA, INC.",TechnipFMC HSEA,0.8667,,,1,FALSE,5.527
0,EQUIPMENT,excavator,Excavator 07,0.8571,,7,0,FALSE,5.527
0,EQUIPMENT,excavator,EXCAVATOR-01,0.8571,,1,0,FALSE,5.527
0,BODY_PART,eye,eyes,1,,,1,FALSE,5.521
1,BODY_PART,finger,left ring finger,1,,,1,FALSE,5.521
1,EQUIPMENT,PPE,PPE’s,0.8571,,,1,FALSE,5.52
0,LOCATION,level 3,Level 2,0.8571,3,2,0,TRUE,5.515
0,LOCATION,level 0,level 1,0.8571,0,1,0,TRUE,5.515
0,LOCATION,Area 105,Area 1,0.8571,105,1,0,TRUE,5.515
1,BODY_PART,right middle finger,finger,1,,,1,FALSE,5.509
1,BODY_PART,finger,left middle finger,1,,,1,FALSE,5.505
0,LOCATION,warehouse,warehouse 2,0.9,,2,0,FALSE,5.5
0,LOCATION,warehouse,warehouse 3,0.9,,3,0,FALSE,5.489
0,BODY_PART,middle finger,index finger,1,,,1,FALSE,5.489
0,ORGANIZATION,level 3 clinic,level 2 clinic,0.9286,3,2,0,TRUE,5.487
0,LOCATION,Building 6,Building 1,0.9,6,1,0,TRUE,5.485
1,BODY_PART,middle finger,fingeren,0.8571,,,1,FALSE,5.484
1,BODY_PART,finger,right ring finger,1,,,1,FALSE,5.476
0,LOCATION,building 85,Building 15,0.9091,85,15,0,TRUE,5.474
0,LOCATION,Building 3,Building 113,0.9091,3,113,0,TRUE,5.474
0,LOCATION,Building 15,building 11,0.9091,15,11,0,TRUE,5.474
0,LOCATION,Bay 5,Bay 15,0.9091,5,15,0,TRUE,5.474
0,LOCATION,Bay 5,Bay 57,0.9091,5,57,0,TRUE,5.474
1,BODY_PART,Knee,right knee,1,,,1,FALSE,5.472
0,LOCATION,station 1,station 10,0.9474,1,10,0,TRUE,5.47
0,INJURY_TYPE,contusion,mild concusion,0.8889,,,1,FALSE,5.464
0,INJURY_TYPE,contusion,confusion,0.8889,,,1,FALSE,5.464
0,EQUIPMENT,crane 1,Crane 2,0.8571,1,2,0,TRUE,5.461
0,LOCATION,Area P11,Area 1,0.8571,11,1,0,TRUE,5.461
0,LOCATION,level 5,Level 2,0.8571,5,2,0,TRUE,5.461
0,LOCATION,Building 3,building 14,0.8571,3,14,0,TRUE,5.461
0,LOCATION,Building 15,Building 6,0.8571,15,6,0,TRUE,5.461
1,BODY_PART,finger,left finger,1,,,1,FALSE,5.46
1,BODY_PART,right finger,finger,1,,,1,FALSE,5.46
1,BODY_PART,Knee,left knee,1,,,1,FALSE,5.455
1,BODY_PART,ankle,right ankle,1,,,1,FALSE,5.455
0,EQUIPMENT,ROV XLX94,ROV XLX43,0.8889,94,43,0,TRUE,5.454
0,LOCATION,station 4,Station 3,0.8889,4,3,0,TRUE,5.454
0,LOCATION,station 4,station 0,0.8889,4,0,0,TRUE,5.454
0,LOCATION,station 6,station 4,0.8889,6,4,0,TRUE,5.454
1,LOCATION,bridge,bride,0.9091,,,1,FALSE,5.452
0,LOCATION,level 15,level 1,0.9333,15,1,0,TRUE,5.44
1,ORGANIZATION,"TECHNIPFMC USA, INC.",TechnipFMC UK,0.8571,,,1,FALSE,5.431
0,BODY_PART,finger,middle fingers,1,,,1,FALSE,5.429
1,BODY_PART,finger,right finger ring,1,,,1,FALSE,5.425
0,BODY_PART,finger,index fingers,1,,,1,FALSE,5.425
0,BODY_PART,finger,Ring fingers,1,,,1,FALSE,5.425
1,BODY_PART,finger,middle right finger,1,,,1,FALSE,5.421
0,BODY_PART,finger,left fingers,1,,,1,FALSE,5.421
1,BODY_PART,finger,Right index  finger,1,,,1,FALSE,5.421
0,EQUIPMENT,train 2,Train 3,0.8571,2,3,0,TRUE,5.404
0,LOCATION,Area 1,Area P16,0.8571,1,16,0,TRUE,5.404
0,LOCATION,Building 3,Building 16,0.8571,3,16,0,TRUE,5.404
0,LOCATION,Building 3,Building 71,0.8571,3,71,0,TRUE,5.404
0,LOCATION,area 2,Area E02,0.8571,2,2,0,TRUE,5.404
0,LOCATION,Level 6,level 1,0.8571,6,1,0,TRUE,5.404
1,LOCATION,workshop,work shop,0.9412,,,1,FALSE,5.4
0,LOCATION,Train 1 area,Train 2 area,0.9167,1,2,0,TRUE,5.398
