id_l,id_r,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,block_key
3bc1279f-b825-4a50-a772-a84d336d7ddb,a8f14b2e-cc3c-4fc7-8958-be6a4f77d9fa,INCIDENT_TYPE,INCIDENT 648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645924 - NM _879-BS IV PROJECT IOCL BARAUNI_068107C001,0.9090909090909091,648765|879|068107|001,645924|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
3bc1279f-b825-4a50-a772-a84d336d7ddb,d1c26f86-3110-4594-afb0-e042bb3d8bbd,INCIDENT_TYPE,INCIDENT 648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 670917 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9391304347826087,648765|879|068107|001,670917|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
3bc1279f-b825-4a50-a772-a84d336d7ddb,2c755400-3032-4c85-bfbf-fbadc0a163a3,INCIDENT_TYPE,INCIDENT 648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 661505 - MTI_879-BS IV PROJECT IO CL BARAUNI_068107C001,0.926829268292683,648765|879|068107|001,661505|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
3bc1279f-b825-4a50-a772-a84d336d7ddb,b7982251-8749-4403-8f9a-fdadcce16d17,INCIDENT_TYPE,INCIDENT 648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645926 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9508196721311475,648765|879|068107|001,645926|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
3bc1279f-b825-4a50-a772-a84d336d7ddb,dc144a6a-f42c-4c0c-a3f1-5b77cf50f7bf,INCIDENT_TYPE,INCIDENT 648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 661239 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9391304347826087,648765|879|068107|001,661239|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
3bc1279f-b825-4a50-a772-a84d336d7ddb,f5582726-e597-49b5-93d3-614e895579ba,INCIDENT_TYPE,INCIDENT 648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645923 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9508196721311475,648765|879|068107|001,645923|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
a7ac918e-84f6-4d55-9622-790dfb4b76f5,188c1409-a102-4736-96d7-4216202de983,INCIDENT_TYPE,INCIDENT 68915 - NEAR MISS-BLADE-BEAUMONT ISBL PLOT-AUG 17-2020,INCIDENT 683997 - NEAR MISS-BLADE-BEAUMONT ISBL PLOT-JUN 15-2020,0.910569105691057,68915|17|2020,683997|15|2020,0.2,INCIDENT_TYPE|INCIDENT|15
f1da3526-0e02-4776-adf3-9601aad1d4b7,107d6d9a-b095-4db3-9b49-1cb7b06bebb3,INCIDENT_TYPE,INCIDENT 685643 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645925 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9391304347826087,685643|879|068107|001,645925|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
f1da3526-0e02-4776-adf3-9601aad1d4b7,a8f14b2e-cc3c-4fc7-8958-be6a4f77d9fa,INCIDENT_TYPE,INCIDENT 685643 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645924 - NM _879-BS IV PROJECT IOCL BARAUNI_068107C001,0.9090909090909091,685643|879|068107|001,645924|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
f1da3526-0e02-4776-adf3-9601aad1d4b7,d1c26f86-3110-4594-afb0-e042bb3d8bbd,INCIDENT_TYPE,INCIDENT 685643 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 670917 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9391304347826087,685643|879|068107|001,670917|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
