is_match,id_l,id_r,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,block_key,risk_score,num_mismatch
,2a354888-d90a-42f2-8fb6-4af1e30e3d2e,3d0cfc3f-4679-4270-959b-7cc5998b03da,EQUIPMENT,COMPANY VEHICLE LD5556,COMPANY VEHICLE LD5552,0.9545454545454546,5556,5552,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,2a354888-d90a-42f2-8fb6-4af1e30e3d2e,4387b000-3ba5-49f4-842f-c5ecb8848338,EQUIPMENT,COMPANY VEHICLE LD5556,COMPANY VEHICLE LD5550,0.9545454545454546,5556,5550,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,2a354888-d90a-42f2-8fb6-4af1e30e3d2e,36035d0a-3008-42cc-bc4a-564e7746be54,EQUIPMENT,COMPANY VEHICLE LD5556,COMPANY VEHICLE LD5506,0.9545454545454546,5556,5506,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,2a354888-d90a-42f2-8fb6-4af1e30e3d2e,93dba91e-66dd-4549-9542-181629f6a655,EQUIPMENT,COMPANY VEHICLE LD5556,COMPANY VEHICLE LD5595,0.9545454545454546,5556,5595,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,2a354888-d90a-42f2-8fb6-4af1e30e3d2e,9686eb8d-a388-48e9-83c6-ef12745a8b14,EQUIPMENT,COMPANY VEHICLE LD5556,COMPANY VEHICLE LD5575,0.9545454545454546,5556,5575,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,2a354888-d90a-42f2-8fb6-4af1e30e3d2e,f10cbdae-5522-4b2d-a300-40e75874d784,EQUIPMENT,COMPANY VEHICLE LD5556,COMPANY VEHICLE LD5554,0.9545454545454546,5556,5554,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,2a354888-d90a-42f2-8fb6-4af1e30e3d2e,7e4b900d-1f76-44e9-944e-38be8c54f9e8,EQUIPMENT,COMPANY VEHICLE LD5556,COMPANY VEHICLE LD5516,0.9545454545454546,5556,5516,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,ab509eb9-2162-45cc-b1a7-ceb57b1595b6,d6124611-61dc-4e30-b2fc-bceda953a842,EQUIPMENT,COMPANY VEHICLE LD3585,COMPANY VEHICLE LD3854,0.9545454545454546,3585,3854,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,ab509eb9-2162-45cc-b1a7-ceb57b1595b6,16f71216-3310-4492-8004-7cde2c785c17,EQUIPMENT,COMPANY VEHICLE LD3585,COMPANY VEHICLE LD3583,0.9545454545454546,3585,3583,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,ab509eb9-2162-45cc-b1a7-ceb57b1595b6,e9d7f76a-3631-42d3-bfe3-2d762e5f6fd7,EQUIPMENT,COMPANY VEHICLE LD3585,COMPANY VEHICLE LD3985,0.9545454545454546,3585,3985,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,ab509eb9-2162-45cc-b1a7-ceb57b1595b6,86bb1bd3-aca5-4c51-b987-2c588360e4f2,EQUIPMENT,COMPANY VEHICLE LD3585,COMPANY VEHICLE LD3852,0.9545454545454546,3585,3852,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,ab509eb9-2162-45cc-b1a7-ceb57b1595b6,88de9ac0-f663-4ad6-adc7-a8ceaebad914,EQUIPMENT,COMPANY VEHICLE LD3585,COMPANY VEHICLE LD3785,0.9545454545454546,3585,3785,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,ab509eb9-2162-45cc-b1a7-ceb57b1595b6,f29d4900-e5bb-4ee6-9950-e68690935784,EQUIPMENT,COMPANY VEHICLE LD3585,COMPANY VEHICLE LD3845,0.9545454545454546,3585,3845,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,ab509eb9-2162-45cc-b1a7-ceb57b1595b6,c2dc337e-bc73-482a-b980-1a724768f00a,EQUIPMENT,COMPANY VEHICLE LD3585,COMPANY VEHICLE LD3955,0.9545454545454546,3585,3955,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,ab509eb9-2162-45cc-b1a7-ceb57b1595b6,d4197d0f-e07c-4569-98a4-5614c1588d0b,EQUIPMENT,COMPANY VEHICLE LD3585,COMPANY VEHICLE LD3858,0.9545454545454546,3585,3858,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,77c03f97-2da4-4df1-b05b-65c64619bf83,af12461e-0e03-4c7d-8f1e-44e8767e61ba,EQUIPMENT,COMPANY VEHICLE LD3739,COMPANY VEHICLE LD3713,0.9545454545454546,3739,3713,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,77c03f97-2da4-4df1-b05b-65c64619bf83,950be9de-2de3-42d9-a96d-526fe325c47d,EQUIPMENT,COMPANY VEHICLE LD3739,COMPANY VEHICLE LD3797,0.9545454545454546,3739,3797,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,77c03f97-2da4-4df1-b05b-65c64619bf83,5efd64a3-e1a4-4856-8da2-b758d6bfd280,EQUIPMENT,COMPANY VEHICLE LD3739,COMPANY VEHICLE LD3736,0.9545454545454546,3739,3736,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,77c03f97-2da4-4df1-b05b-65c64619bf83,2a8d39fb-d3d1-430f-9b83-91d21ba44f0a,EQUIPMENT,COMPANY VEHICLE LD3739,COMPANY VEHICLE LD3743,0.9545454545454546,3739,3743,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,212bf37e-499e-4184-b086-0b38a7aeb445,0a356643-6a50-4139-949c-1c68e259f4de,EQUIPMENT,COMPANY VEHICLE LD3964,COMPANY VEHICLE LD3936,0.9545454545454546,3964,3936,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,212bf37e-499e-4184-b086-0b38a7aeb445,7152822b-6748-41fd-a188-3692d191c6c6,EQUIPMENT,COMPANY VEHICLE LD3964,COMPANY VEHICLE LD3940,0.9545454545454546,3964,3940,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,212bf37e-499e-4184-b086-0b38a7aeb445,4296ebf9-4eab-4c9b-af9d-704d40db608f,EQUIPMENT,COMPANY VEHICLE LD3964,COMPANY VEHICLE LD3943,0.9545454545454546,3964,3943,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,212bf37e-499e-4184-b086-0b38a7aeb445,f64c6586-c955-47b4-bd90-1f4d0e15cd88,EQUIPMENT,COMPANY VEHICLE LD3964,COMPANY VEHICLE LD3966,0.9545454545454546,3964,3966,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,212bf37e-499e-4184-b086-0b38a7aeb445,0fa35bf2-b1ab-466a-8321-96dff713285a,EQUIPMENT,COMPANY VEHICLE LD3964,COMPANY VEHICLE LD3976,0.9545454545454546,3964,3976,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,212bf37e-499e-4184-b086-0b38a7aeb445,e18b6f64-02f3-4600-88ec-49c4189af60d,EQUIPMENT,COMPANY VEHICLE LD3964,COMPANY VEHICLE LD3956,0.9545454545454546,3964,3956,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,212bf37e-499e-4184-b086-0b38a7aeb445,dcd39ac5-b9c5-40e0-9d61-5c651af9cda1,EQUIPMENT,COMPANY VEHICLE LD3964,COMPANY VEHICLE LD3994,0.9545454545454546,3964,3994,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,212bf37e-499e-4184-b086-0b38a7aeb445,e99a6778-7fde-426b-9f41-3dcc7ded4ea0,EQUIPMENT,COMPANY VEHICLE LD3964,COMPANY VEHICLE LD3640,0.9545454545454546,3964,3640,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
,212bf37e-499e-4184-b086-0b38a7aeb445,cd2a9c16-e457-4448-98b4-5d0aa4bc6890,EQUIPMENT,COMPANY VEHICLE LD3964,COMPANY VEHICLE LD3948,0.9545454545454546,3964,3948,0.0,EQUIPMENT|COMPANY|5,0.9545454545454546,True
