entity_type,entity_a_id,entity_a_value,entity_a_degree,entity_b_id,entity_b_value,entity_b_degree,similarity_score,merge_rule,combined_degree
ROOT_CAUSE_CATEGORY,"ROOT_CAUSE_CATEGORY::STANDARD OPERATING PROCEDURES, PROCEDURES & WORK INSTRUCTIONS","Standard Operating Procedures, Procedures & Work instructions",158,"ROOT_CAUSE_CATEGORY::BASIC ORGANIZATIONAL - STANDARD OPERATING PROCEDURES, PROCEDURES & WORK INSTRUCTIONS","Basic Organizational - Standard Operating Procedures, Procedures & Work instructions",659,0.8414,substring_match,817
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::SUBSTANCES  - HAZARDOUS LIQUIDS (EXPOSURE TO / SPILL / LOSS OF CONTAINMENT /POLLUTION),Substances  - Hazardous liquids (exposure to / spill / loss of containment /pollution),743,ROOT_CAUSE_CATEGORY::SUBSTANCES  - HAZARDOUS SOLIDS (EXPOSURE TO / SPILL / LOSS OF CONTAINMENT /POLLUTION),Substances  - Hazardous solids (exposure to / spill / loss of containment /pollution),38,0.9708,jaro_winkler,781
EQUIPMENT,EQUIPMENT::FORKLIFT,forklift,734,EQUIPMENT::FORK LIFT,fork lift,38,0.9412,jaro_winkler,772
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::MANUAL HANDLING,Manual handling,163,ROOT_CAUSE_CATEGORY::ERGONOMICS - MANUAL HANDLING,Ergonomics - Manual handling,597,0.6977,substring_match,760
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::HAZARDOUS SOLIDS (EXPOSURE TO / SPILL / LOSS OF CONTAINMENT /POLLUTION),Hazardous solids (exposure to / spill / loss of containment /pollution),9,ROOT_CAUSE_CATEGORY::SUBSTANCES  - HAZARDOUS LIQUIDS (EXPOSURE TO / SPILL / LOSS OF CONTAINMENT /POLLUTION),Substances  - Hazardous liquids (exposure to / spill / loss of containment /pollution),743,0.879,jaro_winkler,752
EQUIPMENT,EQUIPMENT::FORKLIFT,forklift,734,EQUIPMENT::FORKLIFTS,forklifts,7,1.0,exact_normalized,741
EQUIPMENT,EQUIPMENT::FORKLIFT,forklift,734,EQUIPMENT::FORK-LIFT,fork-lift,3,0.9412,jaro_winkler,737
EQUIPMENT,EQUIPMENT::FORKLIFT,forklift,734,EQUIPMENT::FORKLOIFT,forkloift,1,0.9412,jaro_winkler,735
EQUIPMENT,EQUIPMENT::FORKLIFT,forklift,734,EQUIPMENT::FORKLIFT1,Forklift1,1,0.9412,jaro_winkler,735
EQUIPMENT,EQUIPMENT::FORKLIFT,forklift,734,EQUIPMENT::FORKLIFT 1,forklift 1,1,0.8889,jaro_winkler,735
EQUIPMENT,EQUIPMENT::FORKLIFT,forklift,734,EQUIPMENT::FORKLIFT 2,forklift 2,1,0.8889,jaro_winkler,735
ROOT_CAUSE_CATEGORY,"ROOT_CAUSE_CATEGORY::STORED ENERGY (PRESSURE, TENSION)","Stored energy (pressure, tension)",229,"ROOT_CAUSE_CATEGORY::MECHANICAL - STORED ENERGY (PRESSURE, TENSION)","Mechanical - Stored energy (pressure, tension)",496,0.8354,substring_match,725
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::PLANNING AND COORDINATION OF WORKS,Planning and coordination of works,180,ROOT_CAUSE_CATEGORY::BASIC ORGANIZATIONAL - PLANNING AND COORDINATION OF WORKS,Basic Organizational - Planning and coordination of works,538,0.7473,substring_match,718
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::BASIC ORGANIZATIONAL,Basic Organizational,1,"ROOT_CAUSE_CATEGORY::BASIC ORGANIZATIONAL - STANDARD OPERATING PROCEDURES, PROCEDURES & WORK INSTRUCTIONS","Basic Organizational - Standard Operating Procedures, Procedures & Work instructions",659,0.3846,substring_match,660
