entity_type,entity_id,canonical_id,cluster_id
EQUIPMENT,EQUIPMENT::BUCKETS,EQUIPMENT::BUCKET,EQUIPMENT::BUCKET
EQUIPMENT,EQUIPMENT::BULLDOZER,EQUIPMENT::BULLDOZERS,EQUIPMENT::BULLDOZER
EQUIPMENT,EQUIPMENT::BUMP CAPS,EQUIPMENT::BUMP CAP,EQUIPMENT::BUMP CAP
EQUIPMENT,EQUIPMENT::BUOYANCY MODULE,EQUIPMENT::BUOYANCY MODULES,EQUIPMENT::BUOYANCY MODULE
EQUIPMENT,EQUIPMENT::BUTTERFLY VALVES,EQUIPMENT::BUTTERFLY VALVE,EQUIPMENT::BUTTERFLY VALVE
EQUIPMENT,EQUIPMENT::C-PLATES,EQUIPMENT::C-PLATE,EQUIPMENT::C-PLATE
EQUIPMENT,EQUIPMENT::CABS,EQUIPMENT::CAB,EQUIPMENT::CAB
EQUIPMENT,EQUIPMENT::CABLES,EQUIPMENT::CABLE,EQUIPMENT::CABLE
EQUIPMENT,EQUIPMENT::CABLE DRUMS,EQUIPMENT::CABLE DRUM,EQUIPMENT::CABLE DRUM
EQUIPMENT,EQUIPMENT::CABLE TRAYS,EQUIPMENT::CABLE TRAY,EQUIPMENT::CABLE TRAY
EQUIPMENT,EQUIPMENT::CAMERA,EQUIPMENT::CAMERAS,EQUIPMENT::CAMERA
EQUIPMENT,EQUIPMENT::CAPACITOR,EQUIPMENT::CAPACITORS,EQUIPMENT::CAPACITOR
EQUIPMENT,EQUIPMENT::CARGO STRAP,EQUIPMENT::CARGO STRAPS,EQUIPMENT::CARGO STRAP
EQUIPMENT,EQUIPMENT::CARGO STROPS,EQUIPMENT::CARGO STROP,EQUIPMENT::CARGO STROP
EQUIPMENT,EQUIPMENT::CASING HEADS,EQUIPMENT::CASING HEAD,EQUIPMENT::CASING HEAD
EQUIPMENT,EQUIPMENT::CASING VALVE,EQUIPMENT::CASING VALVES,EQUIPMENT::CASING VALVE
EQUIPMENT,EQUIPMENT::CATCHERS,EQUIPMENT::CATCHER,EQUIPMENT::CATCHER
EQUIPMENT,EQUIPMENT::CAVALETE,EQUIPMENT::CAVALETES,EQUIPMENT::CAVALETE
EQUIPMENT,EQUIPMENT::CCTVS,EQUIPMENT::CCTV,EQUIPMENT::CCTV
EQUIPMENT,EQUIPMENT::CENTRALIZERS,EQUIPMENT::CENTRALIZER,EQUIPMENT::CENTRALIZER
EQUIPMENT,EQUIPMENT::CHAIN,EQUIPMENT::CHAINS,EQUIPMENT::CHAIN
EQUIPMENT,EQUIPMENT::CHAIN BLOCKS,EQUIPMENT::CHAIN BLOCK,EQUIPMENT::CHAIN BLOCK
EQUIPMENT,EQUIPMENT::CHAIN FALLS,EQUIPMENT::CHAIN FALL,EQUIPMENT::CHAIN FALL
EQUIPMENT,EQUIPMENT::CHAIN HOISTS,EQUIPMENT::CHAIN HOIST,EQUIPMENT::CHAIN HOIST
EQUIPMENT,EQUIPMENT::CHAIN SLINGS,EQUIPMENT::CHAIN SLING,EQUIPMENT::CHAIN SLING
EQUIPMENT,EQUIPMENT::CHAIN TONGS,EQUIPMENT::CHAIN TONG,EQUIPMENT::CHAIN TONG
EQUIPMENT,EQUIPMENT::CHECK VALVES,EQUIPMENT::CHECK VALVE,EQUIPMENT::CHECK VALVE
EQUIPMENT,EQUIPMENT::CHEMICAL SUITS,EQUIPMENT::CHEMICAL SUIT,EQUIPMENT::CHEMICAL SUIT
EQUIPMENT,EQUIPMENT::CHERRY PICKERS,EQUIPMENT::CHERRY PICKER,EQUIPMENT::CHERRY PICKER
